Summary|概览
Platform|平台
Id|ID
Name|名称
Version|版本
Image|图片
Id|ID
Name|名称
Image Path|图片路径
Create Time|创建时间
Platform|平台
Version|版本
User Domain|用户域
Id|ID
Name|名称
Version|版本
User White List|用户白名单
Id|ID
User Identity|用户身份
User Special Functions|用户特殊功能
Domain|域
Version|版本
Sec User|安全用户
Id|ID
Login|登录
Mobile|手机号码
Email|电子邮件
Pwd|密码
Weixin Openid|微信openid
Weixin Appid|微信Appid
Access Token|访问令牌
Verification Code|验证码
Verification Code Expire|验证码过期
Last Login Time|最后登录时间
Domain|域
Version|版本
User App|用户应用程序
Id|ID
Title|标题
Sec User|安全用户
App Icon|应用程序图标
Full Access|完全访问
Permission|许可
Object Type|访问对象类型
Object Id|对象ID
Location|位置
Version|版本
Quick Link|快速链接
Id|ID
Name|名称
Icon|图标
Image Path|图片路径
Link Target|链接的目标
Create Time|创建时间
App|应用程序
Version|版本
List Access|访问列表
Id|ID
Name|名称
Internal Name|内部名称
Read Permission|读权限
Create Permission|创建权限
Delete Permission|删除权限
Update Permission|更新权限
Execution Permission|执行权限
App|应用程序
Version|版本
Object Access|对象访问
Id|ID
Name|名称
Object Type|访问对象类型
List1|列表1
List2|列表2
List3|列表3
List4|列表4
List5|列表5
List6|列表6
List7|列表7
List8|列表8
List9|列表9
App|应用程序
Version|版本
Login History|登录历史
Id|ID
Login Time|登录时间
From Ip|来自IP
Description|描述
Sec User|安全用户
Version|版本
Generic Form|通用的形式
Id|ID
Title|标题
Description|描述
Version|版本
Form Message|表单信息
Id|ID
Title|标题
Form|形式
Level|水平
Version|版本
Form Field Message|表单字段的信息
Id|ID
Title|标题
Parameter Name|参数名称
Form|形式
Level|水平
Version|版本
Form Field|表单字段
Id|ID
Label|标签
Locale Key|语言环境的关键
Parameter Name|参数名称
Type|类型
Form|形式
Placeholder|占位符
Default Value|默认值
Description|描述
Field Group|字段组
Minimum Value|最小值
Maximum Value|最大值
Required|要求
Disabled|是否冻结
Custom Rendering|自定义渲染
Candidate Values|候选人的价值观
Suggest Values|建议值
Version|版本
Form Action|表单动作
Id|ID
Label|标签
Locale Key|语言环境的关键
Action Key|行动的关键
Level|水平
Url|url
Form|形式
Version|版本
Candidate Container|候选人容器
Id|ID
Name|名称
Version|版本
Candidate Element|候选人元素
Id|ID
Name|名称
Type|类型
Image|图片
Container|容器
Version|版本
Wechat Workapp Identify|微信Workapp识别
Id|ID
Corp Id|公司标识
User Id|用户Id
Sec User|安全用户
Create Time|创建时间
Last Login Time|最后登录时间
Version|版本
Wechat Miniapp Identify|微信Miniapp识别
Id|ID
Open Id|开放Id
App Id|应用程序Id
Sec User|安全用户
Create Time|创建时间
Last Login Time|最后登录时间
Version|版本
Tree Node|树节点
Id|ID
Node Id|节点Id
Node Type|节点类型
Left Value|左值
Right Value|正确的价值
Version|版本
Transfer to Another Platform|转到平台
Transfer to Another Domain|转移到域
Transfer to Another Domain|转移到域
Transfer to Another Sec User|传输给Sec用户
Transfer to Another App|转移到应用程序
Transfer to Another App|转移到应用程序
Transfer to Another App|转移到应用程序
Transfer to Another Sec User|传输给Sec用户
Transfer to Another Form|转移到形式
Transfer to Another Form|转移到形式
Transfer to Another Form|转移到形式
Transfer to Another Form|转移到形式
Transfer to Another Container|转移到容器
Transfer to Another Sec User|传输给Sec用户
Transfer to Another Sec User|传输给Sec用户

